order_id,date,region,category,product,units,unit_price,discount_pct,revenue
ORD-100034,2025-02-04,South,Home,Vacuum,9,250,0,2250.0
ORD-100035,2025-02-05,West,Home,Lamp,8,60,0,480.0
ORD-100036,2025-02-06,West,Electronics,Laptop,9,15,0,135.0
ORD-100037,2025-02-07,South,Home,Cookware,8,250,0,2000.0
ORD-100038,2025-02-08,West,Electronics,Phone,7,15,5,99.75
ORD-100039,2025-02-09,East,Grocery,Snacks,7,250,0,1750.0
ORD-100040,2025-02-10,South,Apparel,Jeans,1,15,15,12.75
ORD-100041,2025-02-11,East,Electronics,Laptop,10,250,10,2250.0
ORD-100042,2025-02-12,South,Electronics,Laptop,3,25,10,67.5
ORD-100043,2025-02-13,North,Home,Cookware,2,60,10,108.0
ORD-100044,2025-02-14,North,Electronics,Monitor,10,120,0,1200.0
ORD-100045,2025-02-15,South,Apparel,Jeans,5,180,0,900.0
ORD-100046,2025-02-16,East,Grocery,Snacks,2,15,5,28.5
ORD-100047,2025-02-17,North,Electronics,Phone,9,90,0,810.0
ORD-100048,2025-02-18,East,Electronics,Phone,6,90,0,540.0
ORD-100049,2025-02-19,West,Apparel,Jacket,9,90,15,688.5
ORD-100050,2025-02-20,North,Home,Lamp,2,25,15,42.5
ORD-100051,2025-02-21,South,Apparel,Shoes,10,60,15,510.0
ORD-100052,2025-02-22,East,Home,Lamp,9,250,0,2250.0
ORD-100053,2025-02-23,North,Electronics,Monitor,5,15,0,75.0
ORD-100054,2025-02-24,East,Home,Lamp,3,250,10,675.0
ORD-100055,2025-02-25,West,Electronics,Laptop,2,40,10,72.0
ORD-100056,2025-02-26,North,Apparel,Jeans,7,40,0,280.0
ORD-100057,2025-02-27,East,Apparel,Jacket,6,60,15,306.0
ORD-100058,2025-02-28,South,Electronics,Headphones,9,180,10,1458.0
ORD-100059,2025-03-01,South,Home,Vacuum,3,180,0,540.0
ORD-100060,2025-03-02,South,Apparel,Shirt,4,90,0,360.0
ORD-100061,2025-03-03,North,Grocery,Coffee,8,60,0,480.0
ORD-100062,2025-03-04,West,Apparel,Shoes,4,60,0,240.0
ORD-100063,2025-03-05,South,Grocery,Snacks,5,25,0,125.0
ORD-100064,2025-03-06,East,Grocery,Snacks,1,25,0,25.0
ORD-100065,2025-03-07,South,Apparel,Jacket,2,180,0,360.0
ORD-100066,2025-03-08,East,Grocery,Coffee,7,60,0,420.0
ORD-100067,2025-03-09,North,Grocery,Coffee,9,60,0,540.0
ORD-100068,2025-03-10,West,Electronics,Headphones,10,120,15,1020.0
ORD-100069,2025-03-11,North,Apparel,Shoes,7,120,5,798.0
ORD-100070,2025-03-12,East,Home,Vacuum,7,180,15,1071.0
ORD-100071,2025-03-13,South,Apparel,Shirt,9,15,0,135.0
ORD-100072,2025-03-14,East,Home,Cookware,10,120,5,1140.0
ORD-100073,2025-03-15,West,Grocery,Tea,9,250,15,1912.5
ORD-100074,2025-03-16,South,Electronics,Headphones,9,120,0,1080.0
ORD-100075,2025-03-17,South,Apparel,Jeans,4,40,0,160.0
ORD-100076,2025-03-18,North,Home,Cookware,10,25,5,237.5
ORD-100077,2025-03-19,West,Home,Cookware,8,180,0,1440.0
ORD-100078,2025-03-20,South,Electronics,Laptop,7,60,0,420.0
ORD-100079,2025-03-21,West,Electronics,Phone,2,250,0,500.0
ORD-100080,2025-03-22,West,Apparel,Shirt,10,180,10,1620.0
ORD-100081,2025-03-23,West,Home,Cookware,8,90,0,720.0
ORD-100082,2025-03-24,East,Grocery,Tea,5,250,0,1250.0
ORD-100083,2025-03-25,East,Home,Lamp,6,120,10,648.0
ORD-100084,2025-03-26,North,Home,Vacuum,4,180,15,612.0
ORD-100085,2025-03-27,South,Home,Mixer,7,180,0,1260.0
ORD-100086,2025-03-28,West,Grocery,Coffee,4,180,5,684.0
ORD-100087,2025-03-29,North,Grocery,Cereal,1,120,0,120.0
ORD-100088,2025-03-30,West,Grocery,Tea,8,60,0,480.0
ORD-100089,2025-03-31,West,Grocery,Coffee,7,120,15,714.0
ORD-100090,2025-04-01,West,Home,Cookware,3,15,5,42.75
ORD-100091,2025-04-02,North,Electronics,Monitor,3,250,0,750.0
ORD-100092,2025-04-03,North,Apparel,Shirt,6,60,5,342.0
ORD-100093,2025-04-04,East,Apparel,Shirt,5,180,0,900.0
ORD-100094,2025-04-05,North,Grocery,Coffee,9,15,0,135.0
ORD-100095,2025-04-06,South,Electronics,Laptop,1,60,0,60.0
ORD-100096,2025-04-07,North,Home,Vacuum,3,250,15,637.5
ORD-100097,2025-04-08,North,Home,Cookware,5,120,0,600.0
ORD-100098,2025-04-09,North,Home,Lamp,2,15,0,30.0
ORD-100099,2025-04-10,West,Grocery,Tea,2,60,0,120.0
ORD-100100,2025-04-11,East,Electronics,Laptop,6,180,15,918.0
ORD-100101,2025-04-12,East,Electronics,Headphones,1,180,5,171.0
ORD-100102,2025-04-13,North,Grocery,Snacks,8,40,5,304.0
ORD-100103,2025-04-14,South,Apparel,Shirt,8,180,15,1224.0
ORD-100104,2025-04-15,East,Apparel,Jeans,2,90,5,171.0
ORD-100105,2025-04-16,South,Grocery,Cereal,6,15,5,85.5
ORD-100106,2025-04-17,East,Home,Cookware,4,120,0,480.0
ORD-100107,2025-04-18,East,Apparel,Shoes,9,15,10,121.5
ORD-100108,2025-04-19,South,Electronics,Phone,7,250,10,1575.0
ORD-100109,2025-04-20,South,Grocery,Cereal,8,15,0,120.0
ORD-100110,2025-04-21,East,Home,Cookware,4,90,15,306.0
ORD-100111,2025-04-22,East,Grocery,Snacks,7,120,0,840.0
ORD-100112,2025-04-23,West,Apparel,Shoes,5,60,0,300.0
ORD-100113,2025-04-24,South,Apparel,Jacket,9,40,0,360.0
ORD-100114,2025-04-25,South,Grocery,Snacks,10,90,0,900.0
ORD-100115,2025-04-26,South,Apparel,Jeans,6,40,0,240.0
ORD-100116,2025-04-27,North,Home,Lamp,1,15,10,13.5
ORD-100117,2025-04-28,East,Home,Cookware,2,15,10,27.0
ORD-100118,2025-04-29,East,Grocery,Cereal,8,120,0,960.0
ORD-100119,2025-04-30,North,Apparel,Shirt,2,25,5,47.5
ORD-100120,2025-05-01,West,Electronics,Laptop,3,40,10,108.0
ORD-100121,2025-05-02,East,Electronics,Phone,2,180,10,324.0
ORD-100122,2025-05-03,South,Grocery,Cereal,8,90,10,648.0
ORD-100123,2025-05-04,West,Apparel,Jacket,10,25,0,250.0
ORD-100124,2025-05-05,South,Apparel,Jacket,3,60,0,180.0
ORD-100125,2025-05-06,North,Home,Mixer,7,250,15,1487.5
ORD-100126,2025-05-07,West,Apparel,Jacket,4,90,15,306.0
ORD-100127,2025-05-08,East,Grocery,Coffee,4,90,15,306.0
ORD-100128,2025-05-09,South,Grocery,Coffee,9,60,15,459.0
ORD-100129,2025-05-10,South,Apparel,Jeans,2,15,0,30.0
ORD-100130,2025-05-11,East,Apparel,Shirt,2,250,15,425.0
ORD-100131,2025-05-12,East,Grocery,Snacks,9,250,5,2137.5
ORD-100132,2025-05-13,North,Electronics,Monitor,6,90,0,540.0
ORD-100133,2025-05-14,North,Home,Mixer,5,15,0,75.0
ORD-100134,2025-05-15,West,Grocery,Snacks,3,180,15,459.0
ORD-100135,2025-05-16,West,Electronics,Monitor,6,180,0,1080.0
ORD-100136,2025-05-17,East,Electronics,Phone,6,180,15,918.0
ORD-100137,2025-05-18,West,Apparel,Shirt,9,15,5,128.25
ORD-100138,2025-05-19,North,Apparel,Shoes,6,25,5,142.5
ORD-100139,2025-05-20,North,Grocery,Cereal,1,60,10,54.0
ORD-100140,2025-05-21,East,Grocery,Cereal,1,60,0,60.0
ORD-100141,2025-05-22,South,Apparel,Shirt,8,25,0,200.0
ORD-100142,2025-05-23,South,Home,Lamp,9,15,10,121.5
ORD-100143,2025-05-24,West,Electronics,Phone,2,250,0,500.0
ORD-100144,2025-05-25,South,Grocery,Snacks,9,90,5,769.5
ORD-100145,2025-05-26,West,Grocery,Tea,8,40,5,304.0
ORD-100146,2025-05-27,South,Home,Mixer,5,180,0,900.0
ORD-100147,2025-05-28,East,Electronics,Headphones,5,250,0,1250.0
ORD-100148,2025-05-29,West,Grocery,Snacks,6,180,5,1026.0
ORD-100149,2025-05-30,East,Home,Vacuum,10,180,0,1800.0
ORD-100150,2025-05-31,West,Electronics,Headphones,8,180,5,1368.0
ORD-100151,2025-06-01,South,Grocery,Coffee,3,120,0,360.0
ORD-100152,2025-06-02,West,Electronics,Monitor,1,40,5,38.0
ORD-100153,2025-06-03,South,Electronics,Monitor,5,120,10,540.0
ORD-100154,2025-06-04,West,Electronics,Headphones,9,180,0,1620.0
ORD-100155,2025-06-05,West,Electronics,Laptop,4,90,0,360.0
ORD-100156,2025-06-06,North,Grocery,Coffee,2,250,0,500.0
ORD-100157,2025-06-07,East,Electronics,Laptop,6,15,0,90.0
ORD-100158,2025-06-08,East,Apparel,Shirt,3,60,10,162.0
ORD-100159,2025-06-09,West,Home,Vacuum,3,25,10,67.5
ORD-100160,2025-06-10,West,Home,Cookware,10,40,0,400.0
ORD-100161,2025-06-11,West,Apparel,Shirt,5,15,5,71.25
ORD-100162,2025-06-12,East,Home,Mixer,8,120,10,864.0
ORD-100163,2025-06-13,East,Grocery,Snacks,8,90,0,720.0
ORD-100164,2025-06-14,West,Grocery,Coffee,4,180,10,648.0
ORD-100165,2025-06-15,East,Apparel,Shoes,1,180,0,180.0
ORD-100166,2025-06-16,North,Electronics,Monitor,5,60,10,270.0
ORD-100167,2025-06-17,East,Home,Vacuum,10,90,15,765.0
ORD-100168,2025-06-18,South,Electronics,Laptop,5,250,0,1250.0
ORD-100169,2025-06-19,East,Home,Mixer,5,120,15,510.0
ORD-100170,2025-06-20,West,Home,Vacuum,3,120,10,324.0
ORD-100171,2025-06-21,East,Home,Lamp,8,90,15,612.0
ORD-100172,2025-06-22,East,Electronics,Monitor,2,40,0,80.0
ORD-100173,2025-06-23,West,Apparel,Jacket,7,15,0,105.0
ORD-100174,2025-06-24,North,Grocery,Snacks,5,180,15,765.0
ORD-100175,2025-06-25,East,Electronics,Phone,8,15,10,108.0
ORD-100176,2025-06-26,East,Home,Mixer,8,90,15,612.0
ORD-100177,2025-06-27,West,Electronics,Phone,1,15,0,15.0
ORD-100178,2025-06-28,West,Electronics,Laptop,4,40,5,152.0
ORD-100179,2025-06-29,West,Apparel,Shirt,10,40,5,380.0
ORD-100180,2025-06-30,North,Grocery,Cereal,5,15,15,63.75
ORD-100181,2025-07-01,East,Home,Cookware,8,60,0,480.0
ORD-100182,2025-07-02,North,Apparel,Shoes,1,180,0,180.0
ORD-100183,2025-07-03,South,Electronics,Monitor,2,60,15,102.0
ORD-100184,2025-07-04,North,Electronics,Headphones,4,40,10,144.0
ORD-100185,2025-07-05,South,Electronics,Phone,10,60,0,600.0
ORD-100186,2025-07-06,East,Home,Mixer,5,40,0,200.0
ORD-100187,2025-07-07,East,Home,Mixer,1,40,0,40.0
ORD-100188,2025-07-08,East,Home,Lamp,1,40,0,40.0
ORD-100189,2025-07-09,North,Home,Cookware,9,25,15,191.25
ORD-100190,2025-07-10,North,Grocery,Cereal,6,25,5,142.5
ORD-100191,2025-07-11,South,Electronics,Headphones,8,15,0,120.0
ORD-100192,2025-07-12,West,Grocery,Cereal,2,250,15,425.0
ORD-100193,2025-07-13,West,Electronics,Laptop,6,40,0,240.0
ORD-100194,2025-07-14,South,Apparel,Shoes,7,90,5,598.5
ORD-100195,2025-07-15,West,Electronics,Laptop,9,60,5,513.0
ORD-100196,2025-07-16,West,Home,Cookware,6,250,5,1425.0
ORD-100197,2025-07-17,West,Electronics,Headphones,7,120,15,714.0
ORD-100198,2025-07-18,East,Apparel,Jeans,8,25,0,200.0
ORD-100199,2025-07-19,North,Electronics,Monitor,2,120,0,240.0
ORD-100200,2025-07-20,North,Apparel,Jacket,7,120,15,714.0
ORD-100201,2025-07-21,West,Electronics,Headphones,10,90,0,900.0
ORD-100202,2025-07-22,North,Home,Vacuum,8,60,0,480.0
ORD-100203,2025-07-23,East,Apparel,Jacket,5,60,5,285.0
ORD-100204,2025-07-24,North,Apparel,Jacket,3,90,15,229.5
ORD-100205,2025-07-25,East,Apparel,Shoes,1,40,0,40.0
ORD-100206,2025-07-26,West,Electronics,Phone,1,25,15,21.25
ORD-100207,2025-07-27,South,Grocery,Cereal,8,120,0,960.0
ORD-100208,2025-07-28,East,Apparel,Shoes,10,25,0,250.0
ORD-100209,2025-07-29,South,Home,Mixer,2,90,5,171.0
ORD-100210,2025-07-30,West,Grocery,Cereal,7,90,0,630.0
ORD-100211,2025-07-31,North,Apparel,Shirt,2,90,15,153.0
ORD-100212,2025-08-01,West,Apparel,Jacket,4,180,10,648.0
ORD-100213,2025-08-02,North,Electronics,Phone,5,60,0,300.0
ORD-100214,2025-08-03,East,Apparel,Shoes,2,15,5,28.5
ORD-100215,2025-08-04,West,Home,Vacuum,7,60,10,378.0
ORD-100216,2025-08-05,East,Electronics,Monitor,1,180,0,180.0
ORD-100217,2025-08-06,West,Electronics,Headphones,10,180,10,1620.0
ORD-100218,2025-08-07,West,Grocery,Snacks,2,180,0,360.0
ORD-100219,2025-08-08,East,Home,Cookware,6,25,5,142.5
ORD-100220,2025-08-09,North,Home,Cookware,10,180,10,1620.0
ORD-100221,2025-08-10,North,Grocery,Snacks,6,60,0,360.0
ORD-100222,2025-08-11,South,Electronics,Laptop,9,60,0,540.0
ORD-100223,2025-08-12,East,Home,Vacuum,2,40,0,80.0
ORD-100224,2025-08-13,South,Home,Vacuum,2,40,15,68.0
ORD-100225,2025-08-14,West,Grocery,Cereal,10,120,15,1020.0
ORD-100226,2025-08-15,East,Home,Cookware,2,250,5,475.0
ORD-100227,2025-08-16,East,Apparel,Jacket,6,25,0,150.0
ORD-100228,2025-08-17,West,Grocery,Coffee,1,120,0,120.0
ORD-100229,2025-08-18,North,Electronics,Monitor,8,15,5,114.0
ORD-100230,2025-08-19,South,Apparel,Shirt,9,40,0,360.0
ORD-100231,2025-08-20,West,Electronics,Headphones,2,40,0,80.0
ORD-100232,2025-08-21,South,Grocery,Cereal,9,40,0,360.0
ORD-100233,2025-08-22,East,Apparel,Shirt,7,120,15,714.0
ORD-100234,2025-08-23,North,Apparel,Jacket,6,25,10,135.0
ORD-100235,2025-08-24,West,Apparel,Shoes,10,40,0,400.0
ORD-100236,2025-08-25,North,Home,Lamp,5,180,0,900.0
ORD-100237,2025-08-26,North,Apparel,Shirt,6,40,15,204.0
ORD-100238,2025-08-27,North,Grocery,Snacks,1,120,0,120.0
ORD-100239,2025-08-28,South,Home,Lamp,8,60,0,480.0
ORD-100240,2025-08-29,South,Home,Mixer,5,25,10,112.5
ORD-100241,2025-08-30,North,Apparel,Jeans,10,180,0,1800.0
ORD-100242,2025-08-31,South,Home,Vacuum,8,15,5,114.0
ORD-100243,2025-09-01,East,Home,Cookware,10,90,15,765.0
ORD-100244,2025-09-02,West,Home,Vacuum,5,250,0,1250.0
ORD-100245,2025-09-03,East,Grocery,Cereal,5,180,10,810.0
ORD-100246,2025-09-04,West,Home,Vacuum,10,40,0,400.0
ORD-100247,2025-09-05,North,Grocery,Snacks,9,25,15,191.25
ORD-100248,2025-09-06,North,Apparel,Jacket,3,90,5,256.5
ORD-100249,2025-09-07,South,Grocery,Coffee,4,250,0,1000.0
ORD-100250,2025-09-08,North,Grocery,Coffee,7,120,0,840.0
ORD-100251,2025-09-09,West,Electronics,Headphones,4,15,0,60.0
ORD-100252,2025-09-10,North,Apparel,Jeans,3,15,0,45.0
ORD-100253,2025-09-11,West,Home,Cookware,8,15,0,120.0
ORD-100254,2025-09-12,North,Apparel,Jeans,3,180,0,540.0
ORD-100255,2025-09-13,East,Home,Lamp,2,15,0,30.0
ORD-100256,2025-09-14,West,Grocery,Coffee,2,250,10,450.0
ORD-100257,2025-09-15,North,Home,Vacuum,5,180,0,900.0
ORD-100258,2025-09-16,East,Home,Cookware,3,25,10,67.5
ORD-100259,2025-09-17,East,Electronics,Laptop,7,250,0,1750.0
ORD-100260,2025-09-18,West,Apparel,Shoes,1,120,0,120.0
ORD-100261,2025-09-19,East,Home,Mixer,10,120,0,1200.0
ORD-100262,2025-09-20,North,Apparel,Shoes,3,250,15,637.5
ORD-100263,2025-09-21,West,Home,Vacuum,2,250,0,500.0
ORD-100264,2025-09-22,East,Home,Mixer,4,15,0,60.0
ORD-100265,2025-09-23,East,Grocery,Cereal,5,15,15,63.75
ORD-100266,2025-09-24,South,Apparel,Shoes,1,120,0,120.0
ORD-100267,2025-09-25,North,Apparel,Shirt,7,250,5,1662.5
ORD-100268,2025-09-26,East,Home,Cookware,8,120,10,864.0
ORD-100269,2025-09-27,East,Electronics,Monitor,2,180,10,324.0
ORD-100270,2025-09-28,South,Apparel,Shoes,2,25,0,50.0
ORD-100271,2025-09-29,East,Apparel,Shirt,10,180,0,1800.0
ORD-100272,2025-09-30,West,Apparel,Shirt,1,120,10,108.0
ORD-100273,2025-10-01,West,Apparel,Jacket,2,180,0,360.0
ORD-100274,2025-10-02,South,Electronics,Phone,10,250,0,2500.0
ORD-100275,2025-10-03,South,Electronics,Phone,6,120,5,684.0
ORD-100276,2025-10-04,North,Home,Cookware,6,120,5,684.0
ORD-100277,2025-10-05,North,Home,Lamp,7,120,15,714.0
ORD-100278,2025-10-06,East,Home,Mixer,1,40,5,38.0
ORD-100279,2025-10-07,West,Electronics,Headphones,5,250,0,1250.0
ORD-100280,2025-10-08,East,Grocery,Tea,2,40,0,80.0
ORD-100281,2025-10-09,West,Home,Cookware,2,120,15,204.0
ORD-100282,2025-10-10,East,Electronics,Headphones,5,40,15,170.0
ORD-100283,2025-10-11,South,Apparel,Jeans,2,60,0,120.0
ORD-100284,2025-10-12,South,Grocery,Coffee,6,120,5,684.0
ORD-100285,2025-10-13,South,Electronics,Laptop,5,180,15,765.0
ORD-100286,2025-10-14,West,Grocery,Cereal,10,25,0,250.0
ORD-100287,2025-10-15,East,Electronics,Monitor,8,120,0,960.0
ORD-100288,2025-10-16,South,Home,Cookware,9,15,0,135.0
ORD-100289,2025-10-17,South,Apparel,Jeans,3,120,15,306.0
ORD-100290,2025-10-18,South,Apparel,Shoes,2,90,0,180.0
ORD-100291,2025-10-19,East,Home,Lamp,10,25,10,225.0
ORD-100292,2025-10-20,South,Home,Vacuum,10,120,10,1080.0
ORD-100293,2025-10-21,North,Electronics,Laptop,1,90,15,76.5
ORD-100294,2025-10-22,South,Grocery,Coffee,8,90,15,612.0
ORD-100295,2025-10-23,East,Grocery,Tea,7,90,5,598.5
ORD-100296,2025-10-24,North,Electronics,Phone,8,180,5,1368.0
ORD-100297,2025-10-25,West,Home,Lamp,10,40,0,400.0
ORD-100298,2025-10-26,East,Apparel,Shirt,3,120,10,324.0
ORD-100299,2025-10-27,North,Apparel,Jeans,8,25,0,200.0
ORD-100300,2025-10-28,West,Home,Vacuum,2,15,0,30.0
ORD-100301,2025-10-29,West,Grocery,Tea,3,120,10,324.0
ORD-100302,2025-10-30,East,Home,Vacuum,8,250,5,1900.0
ORD-100303,2025-10-31,East,Grocery,Coffee,2,180,10,324.0
ORD-100304,2025-11-01,West,Home,Vacuum,10,120,0,1200.0
ORD-100305,2025-11-02,North,Apparel,Shirt,10,250,0,2500.0
ORD-100306,2025-11-03,North,Electronics,Monitor,3,90,15,229.5
ORD-100307,2025-11-04,East,Grocery,Snacks,1,180,0,180.0
ORD-100308,2025-11-05,South,Apparel,Shoes,2,180,10,324.0
ORD-100309,2025-11-06,West,Apparel,Jacket,3,25,5,71.25
ORD-100310,2025-11-07,East,Apparel,Shoes,3,60,10,162.0
ORD-100311,2025-11-08,West,Electronics,Laptop,1,40,15,34.0
ORD-100312,2025-11-09,East,Grocery,Cereal,3,40,0,120.0
ORD-100313,2025-11-10,East,Home,Cookware,10,90,10,810.0
ORD-100314,2025-11-11,East,Grocery,Snacks,8,15,0,120.0
ORD-100315,2025-11-12,East,Electronics,Monitor,10,90,15,765.0
ORD-100316,2025-11-13,North,Grocery,Snacks,10,60,15,510.0
ORD-100317,2025-11-14,North,Grocery,Tea,9,180,0,1620.0
ORD-100318,2025-11-15,South,Electronics,Laptop,4,15,5,57.0
ORD-100319,2025-11-16,East,Grocery,Tea,7,60,5,399.0
ORD-100320,2025-11-17,West,Electronics,Phone,9,60,10,486.0
ORD-100321,2025-11-18,East,Grocery,Cereal,6,40,5,228.0
ORD-100322,2025-11-19,East,Apparel,Shoes,10,250,0,2500.0
ORD-100323,2025-11-20,South,Apparel,Shoes,4,90,0,360.0
ORD-100324,2025-11-21,South,Grocery,Snacks,8,120,10,864.0
ORD-100325,2025-11-22,East,Apparel,Jacket,10,180,5,1710.0
ORD-100326,2025-11-23,East,Home,Lamp,1,90,15,76.5
ORD-100327,2025-11-24,North,Apparel,Shirt,5,250,0,1250.0
ORD-100328,2025-11-25,South,Apparel,Shoes,3,25,10,67.5
ORD-100329,2025-11-26,South,Home,Mixer,9,60,15,459.0
ORD-100330,2025-11-27,South,Electronics,Laptop,7,120,15,714.0
ORD-100331,2025-11-28,West,Electronics,Phone,1,40,5,38.0
ORD-100332,2025-11-29,West,Grocery,Tea,5,120,0,600.0
ORD-100333,2025-11-30,North,Electronics,Phone,9,15,0,135.0
ORD-100334,2025-12-01,West,Home,Mixer,7,250,0,1750.0
ORD-100335,2025-12-02,East,Electronics,Laptop,5,25,0,125.0
ORD-100336,2025-12-03,East,Grocery,Cereal,3,250,0,750.0
ORD-100337,2025-12-04,South,Electronics,Headphones,3,250,15,637.5
ORD-100338,2025-12-05,East,Home,Mixer,6,90,10,486.0
ORD-100339,2025-12-06,South,Home,Cookware,7,120,0,840.0
ORD-100340,2025-12-07,West,Electronics,Phone,3,250,0,750.0
ORD-100341,2025-12-08,South,Electronics,Headphones,7,60,5,399.0
ORD-100342,2025-12-09,East,Apparel,Shoes,10,15,0,150.0
ORD-100343,2025-12-10,East,Home,Mixer,2,250,0,500.0
ORD-100344,2025-12-11,South,Grocery,Snacks,2,90,0,180.0
ORD-100345,2025-12-12,South,Home,Vacuum,8,40,5,304.0
ORD-100346,2025-12-13,East,Grocery,Cereal,9,60,0,540.0
ORD-100347,2025-12-14,North,Grocery,Snacks,2,25,0,50.0
ORD-100348,2025-12-15,South,Home,Vacuum,6,250,0,1500.0
ORD-100349,2025-12-16,South,Grocery,Coffee,9,250,0,2250.0
ORD-100350,2025-12-17,West,Home,Cookware,8,15,10,108.0
ORD-100351,2025-12-18,West,Apparel,Jacket,7,90,0,630.0
ORD-100352,2025-12-19,South,Electronics,Laptop,7,120,15,714.0
ORD-100353,2025-12-20,North,Electronics,Laptop,8,15,0,120.0
ORD-100354,2025-12-21,West,Home,Vacuum,7,120,5,798.0
ORD-100355,2025-12-22,West,Grocery,Cereal,2,40,15,68.0
ORD-100356,2025-12-23,East,Electronics,Phone,9,180,10,1458.0
ORD-100357,2025-12-24,South,Home,Mixer,1,90,5,85.5
ORD-100358,2025-12-25,West,Grocery,Tea,4,250,0,1000.0
ORD-100359,2025-12-26,South,Apparel,Jeans,2,15,15,25.5
ORD-100360,2025-12-27,West,Electronics,Phone,4,25,0,100.0
ORD-100361,2025-12-28,North,Grocery,Coffee,4,15,5,57.0
ORD-100362,2025-12-29,West,Home,Vacuum,1,40,10,36.0
ORD-100363,2025-12-30,East,Home,Lamp,10,120,0,1200.0
ORD-100364,2025-12-31,East,Home,Vacuum,7,90,0,630.0
ORD-100365,2025-01-01,North,Home,Cookware,9,250,0,2250.0
ORD-100366,2025-01-02,East,Grocery,Snacks,7,180,0,1260.0
ORD-100367,2025-01-03,East,Grocery,Tea,9,250,0,2250.0
ORD-100368,2025-01-04,South,Apparel,Jeans,8,15,10,108.0
ORD-100369,2025-01-05,West,Grocery,Tea,7,60,0,420.0
ORD-100370,2025-01-06,South,Apparel,Jacket,8,120,0,960.0
ORD-100371,2025-01-07,South,Electronics,Headphones,7,15,0,105.0
ORD-100372,2025-01-08,South,Home,Cookware,4,120,0,480.0
ORD-100373,2025-01-09,North,Home,Vacuum,2,250,0,500.0
ORD-100374,2025-01-10,South,Grocery,Tea,9,120,0,1080.0
ORD-100375,2025-01-11,West,Grocery,Snacks,5,90,0,450.0
ORD-100376,2025-01-12,West,Grocery,Coffee,8,120,0,960.0
ORD-100377,2025-01-13,East,Apparel,Shirt,1,60,15,51.0
ORD-100378,2025-01-14,South,Electronics,Headphones,9,180,0,1620.0
ORD-100379,2025-01-15,South,Home,Lamp,4,180,10,648.0
ORD-100380,2025-01-16,South,Grocery,Snacks,5,250,15,1062.5
ORD-100381,2025-01-17,West,Grocery,Tea,6,40,0,240.0
ORD-100382,2025-01-18,West,Home,Mixer,9,15,0,135.0
ORD-100383,2025-01-19,North,Electronics,Monitor,3,60,0,180.0
ORD-100384,2025-01-20,South,Electronics,Phone,9,250,0,2250.0
ORD-100385,2025-01-21,North,Grocery,Cereal,1,15,10,13.5
ORD-100386,2025-01-22,West,Electronics,Laptop,9,90,10,729.0
ORD-100387,2025-01-23,East,Electronics,Monitor,3,25,0,75.0
ORD-100388,2025-01-24,South,Home,Vacuum,10,90,0,900.0
ORD-100389,2025-01-25,East,Grocery,Coffee,6,180,5,1026.0
ORD-100390,2025-01-26,South,Home,Lamp,2,15,0,30.0
